restaurant_id,review_name,review_count
목구멍 율전점,음식이 맛있어요,686
목구멍 율전점,고기 질이 좋아요,461
목구멍 율전점,친절해요,353
목구멍 율전점,직접 잘 구워줘요,250
목구멍 율전점,양이 많아요,166
목구멍 율전점,매장이 넓어요,157
목구멍 율전점,가성비가 좋아요,150
목구멍 율전점,특별한 메뉴가 있어요,142
목구멍 율전점,매장이 청결해요,128
목구멍 율전점,단체모임 하기 좋아요,107
목구멍 율전점,재료가 신선해요,96
목구멍 율전점,인테리어가 멋져요,85
목구멍 율전점,컨셉이 독특해요,29
목구멍 율전점,반찬이 잘 나와요,25
목구멍 율전점,화장실이 깨끗해요,22
목구멍 율전점,메뉴 구성이 알차요,19
목구멍 율전점,특별한 날 가기 좋아요,15
목구멍 율전점,잡내가 적어요,14
목구멍 율전점,뷰가 좋아요,11
목구멍 율전점,음식이 빨리 나와요,9
에스쿱,음식이 맛있어요,330
에스쿱,특별한 메뉴가 있어요,255
에스쿱,친절해요,251
에스쿱,인테리어가 멋져요,123
에스쿱,대화하기 좋아요,111
에스쿱,특별한 날 가기 좋아요,109
에스쿱,매장이 청결해요,107
에스쿱,술이 다양해요,97
에스쿱,메뉴 구성이 알차요,88
에스쿱,재료가 신선해요,78
에스쿱,음악이 좋아요,50
에스쿱,아늑해요,37
에스쿱,화장실이 깨끗해요,32
에스쿱,차분한 분위기에요,27
에스쿱,오래 머무르기 좋아요,18
에스쿱,혼술하기 좋아요,8
에스쿱,가성비가 좋아요,8
에스쿱,컨셉이 독특해요,3
에스쿱,코스요리가 알차요,3
에스쿱,비싼 만큼 가치있어요,3
봉수육,음식이 맛있어요,357
봉수육,특별한 메뉴가 있어요,132
봉수육,친절해요,92
봉수육,가성비가 좋아요,58
봉수육,고기 질이 좋아요,57
봉수육,재료가 신선해요,49
봉수육,양이 많아요,47
봉수육,매장이 청결해요,29
봉수육,인테리어가 멋져요,19
봉수육,특별한 날 가기 좋아요,19
봉수육,단체모임 하기 좋아요,18
봉수육,매장이 넓어요,8
봉수육,잡내가 적어요,6
봉수육,혼밥하기 좋아요,4
봉수육,아늑해요,3
봉수육,반찬이 잘 나와요,3
봉수육,직접 잘 구워줘요,2
봉수육,화장실이 깨끗해요,2
봉수육,컨셉이 독특해요,1
봉수육,음식이 빨리 나와요,1
